MSKU,Quantity
CSTE_0017_MB_HP_Brown,1
CSTE_0021_MB_Beatles_Black,1
CSTE_0044_MB_LaVienRose_Black,1
CSTE_0059_MB_YouAreMySunshine_Black,3
CSTE_0204_MB_MHA12_Brown,1
CSTE_0217_SG_ThugLife_Thin,2
CSTE_0240_SG_Wings_Red,1
CSTE_O0324_OT_Doll_White,1
