Ordered On,MSKU,Quantity
1-Feb-25,CSTE_0217_SG_ThugLife_Thin,1
26-Jan-25,CSTE_0059_MB_YouAreMySunshine_Black,2
26-Jan-25,CSTE_0204_MB_MHA12_Brown,1
27-Jan-25,CSTE_0017_MB_HP_Brown,1
28-Jan-25,CSTE_0021_MB_Beatles_Black,1
28-Jan-25,CSTE_0044_MB_LaVienRose_Black,1
28-Jan-25,CSTE_0059_MB_YouAreMySunshine_Black,1
29-Jan-25,CSTE_0217_SG_ThugLife_Thin,1
30-Jan-25,CSTE_0240_SG_Wings_Red,1
30-Jan-25,CSTE_O0324_OT_Doll_White,1
